algorithm,dataset_name,dataset_dimensions(elements|features|classes),PCA,adversarial_noise,avg_accuracy,avg_precision,avg_recall,avg_f1,std_accuracy,std_precision,std_recall,std_f1
LPTML,synthetic,(100|2|2),2,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
EUCLIDEAN,synthetic,(100|2|2),2,0,0.775,0.775,0.773,0.773,0.075,0.078,0.077,0.076
LPTML,iris,(150|4|3),4,0,0.967,0.967,0.933,0.945,0.0,0.0,0.0,0.0
EUCLIDEAN,iris,(150|4|3),4,0,0.967,0.967,0.933,0.945,0.0,0.0,0.0,0.0
LPTML,poisoned_synthetic,(106|2|2),2,0,0.909,0.923,0.909,0.908,0.0,0.0,0.0,0.0
EUCLIDEAN,poisoned_synthetic,(106|2|2),2,0,0.682,0.806,0.682,0.646,0.0,0.0,0.0,0.0
LPTML,soybean,(150|4|3),4,0,0.917,0.906,0.898,0.897,0.017,0.043,0.028,0.033
EUCLIDEAN,soybean,(150|4|3),4,0,0.933,0.928,0.917,0.919,0.0,0.021,0.009,0.012
LPTML,iris,(150|4|3),4,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
EUCLIDEAN,iris,(150|4|3),4,0,0.983,0.976,0.985,0.979,0.017,0.024,0.015,0.021
LPTML,poisoned_synthetic,(106|2|2),2,0,0.955,0.958,0.95,0.952,0.0,0.008,0.012,0.002
EUCLIDEAN,poisoned_synthetic,(106|2|2),2,0,0.659,0.641,0.643,0.641,0.023,0.034,0.036,0.034
