algorithm,dataset_name,dataset_dimensions(elements|features|classes),PCA,adversarial_noise,accuracy,precision,recall,f1
MMC_Supervised,soybean,(150|4|3),0,0,0.9583333333333334,0.9592547092547092,0.9581803345573235,0.9586206896551723
LSML_Supervised,soybean,(150|4|3),0,0,0.925,0.9275678294573644,0.9223646723646723,0.9197717953289356
ITML_Supervised,soybean,(150|4|3),0,0,0.9833333333333333,0.9851851851851853,0.9833333333333334,0.9838772338772338
NCA,soybean,(150|4|3),0,0,0.9666666666666667,0.9662280701754385,0.9662280701754385,0.9658119658119659
MLKR,soybean,(150|4|3),0,0,0.8916666666666667,0.911965811965812,0.8943089430894308,0.8923721540713817
LFDA,soybean,(150|4|3),0,0,0.95,0.9525835866261398,0.9491491491491492,0.9504830917874396
LMNN,soybean,(150|4|3),0,0,0.95,0.9491228070175438,0.9491228070175438,0.9487179487179488
MMC_Supervised,iris,(150|4|3),0,0,0.9583333333333334,0.9608621667612024,0.9613636363636364,0.9603118355776045
LSML_Supervised,iris,(150|4|3),0,0,0.9416666666666667,0.9412269412269412,0.9405220367993153,0.9407764390896921
ITML_Supervised,iris,(150|4|3),0,0,0.9166666666666666,0.9181929181929182,0.9166666666666666,0.9171555006689308
NCA,iris,(150|4|3),0,0,0.9583333333333334,0.9597329888027563,0.9574786324786325,0.9576974564926374
MLKR,iris,(150|4|3),0,0,0.9583333333333334,0.9603174603174603,0.9603174603174603,0.9578059071729959
LFDA,iris,(150|4|3),0,0,0.975,0.9760765550239235,0.9751540449214868,0.9755187341394239
LMNN,iris,(150|4|3),0,0,0.8916666666666667,0.9133333333333334,0.8968253968253969,0.8891587070314607
MMC_Supervised,poisoned_synthetic,(106|2|2),0,0,0.47058823529411764,0.4818349753694582,0.4835562987736901,0.4631578947368421
LSML_Supervised,poisoned_synthetic,(106|2|2),0,0,0.4117647058823529,0.43065268065268064,0.43137254901960786,0.4116832779623477
ITML_Supervised,poisoned_synthetic,(106|2|2),0,0,0.9647058823529412,0.9673913043478262,0.9642857142857143,0.9646275488972118
NCA,poisoned_synthetic,(106|2|2),0,0,0.5411764705882353,0.5425685425685425,0.5327050997782705,0.5082331998219848
MLKR,poisoned_synthetic,(106|2|2),0,0,0.5058823529411764,0.5098536036036037,0.5097222222222222,0.5052660753880266
LFDA,poisoned_synthetic,(106|2|2),0,0,0.9411764705882353,0.9479166666666667,0.9404761904761905,0.9408819029072193
LMNN,poisoned_synthetic,(106|2|2),0,0,0.49411764705882355,0.4783333333333334,0.48194444444444445,0.4644688644688645
MMC_Supervised,wine,(178|13|3),0,0,0.6573426573426573,0.6973581973581974,0.641536559979183,0.6593667679702961
LSML_Supervised,wine,(178|13|3),0,0,0.6503496503496503,0.7036568213783404,0.6560529238495341,0.6409952055113345
ITML_Supervised,wine,(178|13|3),0,0,0.9440559440559441,0.9452976451660086,0.9461182847122589,0.9448805163090878
NCA,wine,(178|13|3),0,0,0.6503496503496503,0.6022296544035675,0.6330147862882137,0.605662568306011
MLKR,wine,(178|13|3),0,0,0.7062937062937062,0.7222264660199119,0.7335257335257336,0.7042450031520007
LFDA,wine,(178|13|3),0,0,0.8881118881118881,0.8841476697548661,0.8964646464646465,0.887672630257376
LMNN,wine,(178|13|3),0,0,0.7832167832167832,0.8045073375262054,0.8105823214518866,0.7811100936100935
NCA,ionosphere,(351|34|2),0,0,0.800711743772242,0.7781954887218046,0.7722127900396152,0.7749942804850148
LMNN,ionosphere,(351|34|2),0,0,0.6797153024911032,0.8008254716981131,0.5692905258583225,0.5231900452488687
MMC_Supervised,soybean,(150|4|3),0,0,0.9583333333333334,0.957905982905983,0.957905982905983,0.9578059071729959
LSML_Supervised,soybean,(150|4|3),0,0,0.95,0.955015197568389,0.9495130192804612,0.9507507507507507
ITML_Supervised,soybean,(150|4|3),0,0,0.9416666666666667,0.9420024420024421,0.9426764585883313,0.9422459893048128
NCA,soybean,(150|4|3),0,0,0.975,0.974867724867725,0.973851900681169,0.9742531770919293
MLKR,soybean,(150|4|3),0,0,0.95,0.9555555555555556,0.9555555555555556,0.9523809523809524
LFDA,soybean,(150|4|3),0,0,0.9666666666666667,0.9674603174603175,0.9674603174603175,0.9674603174603176
LMNN,soybean,(150|4|3),0,0,0.9416666666666667,0.9421850079744817,0.9440545808966861,0.9430225376174519
MMC_Supervised,iris,(150|4|3),0,0,0.9666666666666667,0.9679722562219503,0.9668699186991869,0.9670329670329672
LSML_Supervised,iris,(150|4|3),0,0,0.9583333333333334,0.959349593495935,0.9612403100775193,0.9577788466677356
ITML_Supervised,iris,(150|4|3),0,0,0.9583333333333334,0.962121212121212,0.956140350877193,0.9564455003111036
NCA,iris,(150|4|3),0,0,0.975,0.9743589743589743,0.9745614035087721,0.9743547591648859
MLKR,iris,(150|4|3),0,0,0.975,0.9752368647717485,0.9740454740454741,0.9745366639806607
LFDA,iris,(150|4|3),0,0,0.95,0.9574468085106383,0.9500000000000001,0.9502457002457003
LMNN,iris,(150|4|3),0,0,0.95,0.9555555555555556,0.9459459459459459,0.9467787114845939
MMC_Supervised,poisoned_synthetic,(106|2|2),0,0,0.9647058823529412,0.9673913043478262,0.9642857142857143,0.9646275488972118
LSML_Supervised,poisoned_synthetic,(106|2|2),0,0,0.49411764705882355,0.49019607843137253,0.49057649667405767,0.48701754385964924
ITML_Supervised,poisoned_synthetic,(106|2|2),0,0,0.5058823529411764,0.5005630630630631,0.5005574136008919,0.5002799552071668
NCA,poisoned_synthetic,(106|2|2),0,0,0.6470588235294118,0.6614285714285715,0.6581746920492721,0.6466186252771619
MLKR,poisoned_synthetic,(106|2|2),0,0,0.5294117647058824,0.5288248337028825,0.5288248337028825,0.5288248337028825
LFDA,poisoned_synthetic,(106|2|2),0,0,0.9764705882352941,0.9787234042553192,0.975,0.9763099219620959
LMNN,poisoned_synthetic,(106|2|2),0,0,0.4588235294117647,0.47861150070126224,0.4829227323628219,0.4414285714285714
MMC_Supervised,wine,(178|13|3),0,0,0.6923076923076923,0.701010101010101,0.6875,0.692026347146829
LSML_Supervised,wine,(178|13|3),0,0,0.7062937062937062,0.6999741705799795,0.7129419821344047,0.6972897669706181
ITML_Supervised,wine,(178|13|3),0,0,0.9020979020979021,0.9069390120237578,0.9082842240736978,0.9067652623856044
NCA,wine,(178|13|3),0,0,0.6993006993006993,0.6813014029995162,0.6921497584541063,0.6852131994989138
MLKR,wine,(178|13|3),0,0,0.6433566433566433,0.7105234544889717,0.6732882882882884,0.6457869634340223
LFDA,wine,(178|13|3),0,0,0.9300699300699301,0.9295074671919686,0.9373251970505976,0.9325591711911184
LMNN,wine,(178|13|3),0,0,0.8111888111888111,0.8098223615464996,0.7968412539841111,0.7981422835212754
NCA,ionosphere,(351|34|2),0,0,0.7651245551601423,0.8015727591998778,0.710689140174952,0.7198150833937637
LMNN,ionosphere,(351|34|2),0,0,0.797153024911032,0.8817427385892116,0.7061855670103092,0.7249119793902963
MMC_Supervised,soybean,(150|4|3),0,0,0.95,0.9511904761904763,0.9511904761904763,0.9511904761904763
LSML_Supervised,soybean,(150|4|3),0,0,0.9666666666666667,0.9664529914529915,0.9668378262729996,0.9662393162393164
ITML_Supervised,soybean,(150|4|3),0,0,0.975,0.975609756097561,0.975,0.9743547591648859
NCA,soybean,(150|4|3),0,0,0.975,0.9751179751179752,0.9743260590500641,0.9746184738955823
MLKR,soybean,(150|4|3),0,0,0.9666666666666667,0.9662393162393162,0.9662393162393162,0.9662393162393162
LFDA,soybean,(150|4|3),0,0,0.925,0.932845744680851,0.9232905982905982,0.9232637202525499
LMNN,soybean,(150|4|3),0,0,0.95,0.9511392999765093,0.9464079464079465,0.9470383275261325
MMC_Supervised,iris,(150|4|3),0,0,0.875,0.8849487785657999,0.8813953488372093,0.8792375963916775
LSML_Supervised,iris,(150|4|3),0,0,0.8916666666666667,0.9133333333333334,0.8992248062015503,0.8908308402876188
ITML_Supervised,iris,(150|4|3),0,0,0.95,0.948268106162843,0.9486486486486486,0.94804318488529
NCA,iris,(150|4|3),0,0,0.9666666666666667,0.9682539682539683,0.9649122807017544,0.9648148148148148
MLKR,iris,(150|4|3),0,0,0.95,0.9531122031122031,0.9510162601626017,0.9505494505494504
LFDA,iris,(150|4|3),0,0,0.9666666666666667,0.9661959777492511,0.9661959777492511,0.9661959777492511
LMNN,iris,(150|4|3),0,0,0.9083333333333333,0.9180124223602485,0.9152334152334153,0.9094097910629863
MMC_Supervised,poisoned_synthetic,(106|2|2),0,0,0.5176470588235295,0.5277777777777778,0.5241130820399112,0.5041968985630958
LSML_Supervised,poisoned_synthetic,(106|2|2),0,0,0.9647058823529412,0.9680851063829787,0.9634146341463414,0.9645291417443317
ITML_Supervised,poisoned_synthetic,(106|2|2),0,0,0.4823529411764706,0.49800637958532695,0.4986111111111111,0.4487028301886793
NCA,poisoned_synthetic,(106|2|2),0,0,0.4588235294117647,0.46111111111111114,0.46098104793756967,0.4587486157253599
MLKR,poisoned_synthetic,(106|2|2),0,0,0.5647058823529412,0.5712274774774775,0.5705128205128205,0.5644647555740202
LFDA,poisoned_synthetic,(106|2|2),0,0,0.9647058823529412,0.96875,0.9625,0.9643904482614161
LMNN,poisoned_synthetic,(106|2|2),0,0,0.9411764705882353,0.9468085106382979,0.9418604651162791,0.9410459148286864
MMC_Supervised,wine,(178|13|3),0,0,0.8601398601398601,0.8527380300779316,0.859927879197656,0.8528508959958844
LSML_Supervised,wine,(178|13|3),0,0,0.7622377622377622,0.7683078951371635,0.7471429117455949,0.7520025981407056
