# Description of the experiments output
"experiment description", "avg euclidean accuracy", "avg lptml accuracy", "std euclidean accuracy", "std lptml accuracy", "avg euclidean precision", "avg lptml precision", "std euclidean precision", "std lptml precision", "avg euclidean recall", "avg lptml recall", "std euclidean recall", "std lptml recall", "avg euclidean f1-score", "avg lptml f1-score", "std euclidean f1-score", "std lptml f1-score", "avg # violated constraints before lptml on training set", "std # violated constraints before lptml on training set", "avg # violated constraints before lptml on testing set", "std # violated constraints before lptml on training set", "avg running time", "std running time"
Example:
This line is the result of running the following configuration: 100 iterations of lptml on the Wine data set with 0.1 fraction of labels perturbed. The values correspond to 10 executions of the experiment.
"10% noise WINE to 2 t=100","0.71","0.59","0.04","0.14","0.69","0.57","0.03","0.14","0.69","0.57","0.03","0.13","0.68","0.56","0.03","0.14","3296.1","9.64","1398.3","41.84","3133.6","131.38","1402.1","54.22","6.48","0.44"

===
"0 noise breast_cancer to 1 t=50","0.96","0.96","0.009","0.009","0.953","0.953","0.008","0.008","0.96","0.96","0.014","0.014","0.956","0.956","0.01","0.01","3614.2","293.366","2521.4","816.68","48113.8","1580.227","35965.8","6531.264","2.74","1.089"
"0 noise breast_cancer to 4 t=50","0.965","0.95","0.009","0.008","0.959","0.944","0.01","0.007","0.965","0.944","0.012","0.013","0.961","0.944","0.01","0.008","3673.8","311.612","2247.2","324.627","48257.6","2223.36","33408.8","1095.675","9.632","1.859"
"0 noise breast_cancer to 8 t=50","0.962","0.934","0.006","0.035","0.956","0.928","0.006","0.03","0.96","0.926","0.009","0.045","0.958","0.926","0.006","0.039","3682.6","283.462","2183.4","285.278","48248.2","1923.587","33652.4","1336.136","23.878","3.922"
"0% noise breast_cancer NOPCA t=50","0.957","0.953","0.006","0.006","0.956","0.948","0.006","0.009","0.948","0.946","0.011","0.007","0.951","0.947","0.006","0.006","3372.0","167.503","1943.0","109.096","47355.0","320.031","30258.0","2367.865","28.418","3.721"
"0.1% noise breast_cancer NOPCA t=50","0.961","0.955","0.009","0.008","0.961","0.955","0.011","0.009","0.951","0.944","0.008","0.009","0.956","0.949","0.009","0.009","3319.4","260.667","1974.4","354.304","47412.6","1238.402","31196.8","804.487","27.552","3.937"
"0.2% noise breast_cancer NOPCA t=50","0.962","0.933","0.012","0.033","0.964","0.933","0.01","0.034","0.952","0.918","0.016","0.037","0.958","0.924","0.013","0.036","3667.4","217.774","2068.8","201.437","46876.2","1197.292","30404.8","3087.919","28.309","3.777"
"0.3% noise breast_cancer NOPCA t=50","0.96","0.939","0.007","0.028","0.96","0.936","0.008","0.027","0.95","0.927","0.009","0.033","0.955","0.931","0.008","0.031","3546.2","461.74","2123.4","409.12","47371.2","2075.359","29993.8","1192.289","32.609","1.259"
"0 noise vehicle to 10 t=50","0.578","0.554","0.045","0.062","0.574","0.549","0.039","0.062","0.582","0.559","0.044","0.061","0.573","0.545","0.042","0.061","7036.4","194.657","2075.2","41.058","79204.2","1116.203","23060.6","480.87","61.918","15.357"
"0 noise vehicle to 13 t=50","0.581","0.557","0.044","0.065","0.578","0.557","0.04","0.065","0.585","0.562","0.044","0.065","0.576","0.549","0.042","0.067","7035.8","194.705","2142.0","139.323","79198.8","1112.505","23946.6","1717.74","127.741","20.335"
"0 noise vehicle to 17 t=50","0.579","0.567","0.046","0.059","0.576","0.564","0.042","0.052","0.583","0.572","0.046","0.059","0.575","0.56","0.043","0.057","7036.2","194.783","2104.4","66.268","79199.2","1112.48","23257.6","748.232","216.052","39.574"
"0 noise german_credit to 16 t=50","0.68","0.683","0.017","0.011","0.569","0.566","0.024","0.048","0.534","0.531","0.013","0.021","0.516","0.508","0.02","0.031","4272.4","388.814","2819.4","673.629","110267.0","1764.893","75109.2","2869.429","273.529","70.915"
"0 noise german_credit to 19 t=50","0.681","0.692","0.017","0.016","0.571","0.598","0.025","0.034","0.535","0.542","0.014","0.014","0.517","0.524","0.022","0.022","4272.0","389.832","2731.2","611.508","110264.6","1768.894","73256.8","1500.307","468.081","106.548"
"0 noise german_credit to 23 t=50","0.68","0.688","0.017","0.019","0.57","0.586","0.024","0.026","0.535","0.541","0.014","0.013","0.517","0.524","0.022","0.018","4271.8","389.548","2736.2","626.861","110265.2","1772.246","77788.4","9826.675","906.964","150.243"
"0 noise image_segment to 11 t=50","0.158","0.124","0.054","0.04","0.157","0.127","0.075","0.043","0.161","0.127","0.049","0.035","0.131","0.116","0.049","0.038","4666.8","32.09","775.8","21.849","4441.4","340.537","762.6","15.692","43.964","7.297"
"0 noise image_segment to 14 t=50","0.158","0.185","0.054","0.084","0.157","0.202","0.075","0.088","0.161","0.189","0.049","0.084","0.131","0.175","0.049","0.075","4666.8","32.09","765.0","15.505","4441.4","340.537","759.8","11.771","56.384","12.734"
"0 noise image_segment to 18 t=50","0.158","0.171","0.054","0.094","0.157","0.168","0.075","0.09","0.161","0.168","0.049","0.089","0.131","0.161","0.049","0.086","4666.8","32.09","770.2","6.765","4441.4","340.537","761.2","12.937","69.355","20.87"
"0 noise german_credit to 2 t=1","0.676","0.675","0.011","0.013","0.557","0.538","0.023","0.032","0.522","0.516","0.008","0.013","0.494","0.479","0.015","0.035","4052.4","527.554","3440.8","661.993","110174.4","655.97","95842.8","17726.276","0.62","0.182"
"0 noise german_credit to 4 t=1","0.661","0.669","0.023","0.02","0.529","0.555","0.06","0.061","0.512","0.52","0.028","0.027","0.487","0.497","0.035","0.027","4029.2","543.171","3658.6","971.535","110036.0","654.432","101975.4","16015.638","1.005","0.564"
"0 noise image_segment to 2 t=1","0.101","0.105","0.032","0.044","0.089","0.105","0.047","0.038","0.111","0.115","0.031","0.048","0.089","0.097","0.034","0.037","4750.2","10.4","3468.2","1587.181","4762.0","223.255","3203.2","1788.131","0.853","0.489"
"0 noise image_segment to 4 t=1","0.118","0.11","0.035","0.037","0.116","0.117","0.064","0.052","0.122","0.114","0.033","0.031","0.099","0.102","0.033","0.033","4666.0","12.083","3081.2","1330.09","4659.0","134.707","2999.8","1347.574","0.881","0.228"
"0 noise breast_cancer to 2 t=1","0.962","0.941","0.005","0.042","0.952","0.93","0.005","0.047","0.964","0.934","0.007","0.06","0.958","0.931","0.005","0.054","3560.0","143.785","3280.2","506.006","47920.6","2443.0","46071.4","4753.941","0.591","0.182"
"0 noise breast_cancer to 4 t=1","0.959","0.959","0.005","0.005","0.952","0.952","0.006","0.006","0.955","0.955","0.007","0.007","0.953","0.953","0.005","0.005","3561.6","147.177","3561.6","147.177","48538.4","1618.041","48538.4","1618.041","0.733","0.121"
"0 noise vehicle to 2 t=1","0.475","0.475","0.038","0.038","0.469","0.469","0.036","0.036","0.476","0.476","0.035","0.035","0.468","0.468","0.037","0.037","6985.6","283.087","6985.6","283.087","78949.4","459.725","78949.4","459.725","0.873","0.333"
"0 noise vehicle to 4 t=1","0.502","0.508","0.03","0.036","0.495","0.503","0.031","0.038","0.504","0.51","0.028","0.033","0.496","0.501","0.031","0.037","6962.6","277.757","5509.2","1923.553","78665.2","416.037","62549.4","21267.515","1.092","0.172"
"0 noise isolet to 2 t=1","0.267","0.259","0.003","0.02","0.276","0.269","0.006","0.018","0.269","0.26","0.004","0.02","0.264","0.256","0.004","0.019","46906.2","1646.069","38230.2","17565.364","1768.2","8.134","1434.8","662.446","7.945","2.767"
"0 noise isolet to 4 t=1","0.453","0.444","0.112","0.108","0.456","0.447","0.114","0.11","0.452","0.444","0.112","0.108","0.447","0.438","0.112","0.108","46599.6","1617.234","38812.6","14662.069","1753.4","13.485","1479.8","564.497","8.567","2.245"
"0 noise letters to 2 t=1","0.158","0.148","0.009","0.013","0.166","0.155","0.009","0.016","0.158","0.148","0.008","0.014","0.152","0.142","0.008","0.015","47137.6","3286.376","37313.2","17090.369","1784.0","22.027","1451.2","674.704","21.47","4.773"
"0 noise letters to 4 t=1","0.572","0.533","0.006","0.049","0.585","0.548","0.006","0.047","0.572","0.533","0.006","0.049","0.573","0.534","0.006","0.049","46865.8","2273.19","34465.2","15387.027","1779.8","19.198","1333.0","558.032","21.353","2.074"
"0 noise mnist to 2 t=1","0.215","0.216","0.154","0.153","0.219","0.217","0.131","0.133","0.212","0.213","0.15","0.149","0.209","0.21","0.14","0.14","17698.4","720.537","12220.4","7067.782","1745.4","19.356","1181.0","676.297","2.933","0.925"
"0 noise mnist to 4 t=1","0.198","0.201","0.195","0.193","0.203","0.206","0.182","0.181","0.196","0.199","0.192","0.191","0.195","0.198","0.187","0.185","17675.6","623.592","10654.0","6305.416","1726.8","20.074","1031.2","595.738","3.355","0.474"
"0 noise isolet to 609 t=50","0.551","0.551","0.099","0.099","0.58","0.58","0.118","0.118","0.55","0.55","0.101","0.101","0.527","0.527","0.105","0.105","44183.4","1648.16","44183.4","1648.16","1763.6","15.869","1757.2","13.407","350.516","24.262"
"0 noise isolet to 612 t=50","0.551","0.551","0.099","0.099","0.58","0.58","0.118","0.118","0.55","0.55","0.101","0.101","0.527","0.527","0.105","0.105","44183.6","1647.877","44183.6","1647.877","1759.4","20.106","1758.8","21.132","345.843","14.509"
"0 noise isolet to 616 t=50","0.551","0.551","0.099","0.099","0.58","0.58","0.118","0.118","0.55","0.55","0.101","0.101","0.527","0.527","0.105","0.105","44183.8","1647.907","44183.8","1647.907","1751.8","10.572","1746.6","10.092","354.255","24.404"
"0 noise letters to 8 t=50","0.85","0.692","0.013","0.159","0.855","0.703","0.013","0.153","0.85","0.692","0.013","0.158","0.85","0.692","0.013","0.159","46897.4","2766.175","2285.6","90.513","1773.8","28.131","90.2","13.121","94.301","9.854"
"0 noise letters to 11 t=50","0.846","0.816","0.045","0.052","0.852","0.823","0.043","0.05","0.847","0.816","0.045","0.052","0.847","0.817","0.045","0.052","46797.0","2543.46","2146.2","78.479","1778.0","17.018","80.4","11.621","140.703","15.174"
"0 noise letters to 15 t=50","0.882","0.872","0.032","0.03","0.886","0.877","0.031","0.028","0.881","0.872","0.032","0.03","0.882","0.873","0.032","0.03","46855.8","2451.973","2143.6","104.634","1788.4","7.864","85.6","8.523","260.307","61.614"
