"0 noise breast_cancer to 2 t=1","0.968","0.968","0.004","0.004","0.962","0.962","0.007","0.007","0.969","0.969","0.005","0.005","0.965","0.965","0.005","0.005","3514.8","271.048","3514.8","271.048","50066.6","1858.842","50066.6","1858.842","0.53","0.077"
"0 noise breast_cancer to 4 t=1","0.962","0.962","0.007","0.007","0.957","0.957","0.008","0.008","0.959","0.959","0.011","0.011","0.958","0.958","0.008","0.008","3540.6","251.707","3540.6","251.707","49176.2","1536.092","49176.2","1536.092","0.689","0.125"
"0 noise vehicle to 2 t=1","0.458","0.458","0.051","0.051","0.461","0.461","0.048","0.048","0.456","0.456","0.051","0.051","0.453","0.453","0.049","0.049","7151.4","171.91","7151.4","171.91","79166.4","626.967","79166.4","626.967","0.837","0.249"
"0 noise vehicle to 4 t=1","0.524","0.524","0.012","0.012","0.525","0.525","0.009","0.009","0.526","0.526","0.015","0.015","0.52","0.52","0.009","0.009","7145.2","179.154","7145.2","179.154","79111.0","645.394","79111.0","645.394","2.428","2.566"
"0 noise german_credit to 2 t=1","0.656","0.654","0.011","0.013","0.55","0.544","0.023","0.031","0.536","0.53","0.016","0.022","0.531","0.524","0.019","0.025","4240.0","398.258","4106.2","397.451","111643.6","539.799","108090.4","6640.959","0.583","0.173"
"0 noise german_credit to 4 t=1","0.648","0.653","0.018","0.013","0.535","0.536","0.02","0.02","0.523","0.523","0.013","0.012","0.515","0.512","0.015","0.02","4229.6","384.615","4114.4","402.185","111616.0","628.646","109139.6","5383.012","1.97","2.246"
"0 noise image_segment to 2 t=1","0.133","0.152","0.022","0.039","0.122","0.157","0.069","0.063","0.136","0.153","0.032","0.045","0.109","0.139","0.038","0.046","4740.0","20.736","3972.0","1532.135","4729.4","229.213","4065.6","1541.806","0.577","0.165"
"0 noise image_segment to 4 t=1","0.164","0.158","0.081","0.087","0.166","0.125","0.069","0.09","0.169","0.164","0.081","0.085","0.143","0.13","0.077","0.084","4665.2","11.839","3794.0","1465.608","4737.2","193.493","4066.8","1601.471","0.774","0.112"
"0 noise isolet to 2 t=1","0.273","0.262","0.006","0.022","0.275","0.267","0.005","0.018","0.274","0.263","0.007","0.021","0.269","0.259","0.006","0.021","45836.8","1773.841","37024.8","17336.32","1780.4","20.441","1433.8","673.66","7.722","2.567"
"0 noise isolet to 4 t=1","0.513","0.497","0.009","0.035","0.512","0.496","0.008","0.034","0.513","0.497","0.008","0.033","0.506","0.49","0.008","0.034","45759.6","1719.058","36888.6","17265.688","1766.8","24.669","1441.8","672.152","7.483","1.517"
"0 noise letters to 2 t=1","0.157","0.157","0.007","0.007","0.162","0.162","0.007","0.007","0.157","0.157","0.007","0.007","0.152","0.152","0.007","0.007","48670.8","1479.862","48670.8","1479.862","1789.4","19.541","1789.8","17.279","19.289","3.007"
"0 noise letters to 4 t=1","0.569","0.533","0.007","0.038","0.578","0.542","0.006","0.035","0.569","0.533","0.007","0.038","0.569","0.532","0.006","0.037","48237.2","1411.245","23891.2","20475.969","1786.0","4.05","851.8","764.046","22.05","2.649"
"0 noise mnist to 2 t=1","0.272","0.272","0.148","0.148","0.27","0.27","0.124","0.124","0.271","0.271","0.144","0.144","0.262","0.262","0.133","0.133","18140.8","906.432","18140.8","906.432","1740.8","18.915","1734.4","8.958","2.218","0.132"
"0 noise mnist to 4 t=1","0.296","0.298","0.2","0.199","0.307","0.305","0.184","0.187","0.296","0.297","0.198","0.197","0.293","0.293","0.192","0.192","17904.2","989.861","15081.4","5150.794","1742.8","8.795","1495.0","495.625","3.184","1.95"
"0.1% noise breast_cancer to 2 t=1","0.966","0.965","0.008","0.008","0.961","0.959","0.007","0.007","0.965","0.964","0.011","0.011","0.963","0.961","0.008","0.008","3405.8","242.63","3163.7","418.34","48752.7","2173.644","46155.8","5942.498","0.427","0.1"
"0.1% noise breast_cancer to 4 t=1","0.959","0.936","0.01","0.043","0.957","0.937","0.009","0.038","0.953","0.92","0.014","0.06","0.955","0.926","0.011","0.053","3442.6","181.814","3023.8","487.301","48321.0","1405.395","43716.4","5464.269","0.588","0.113"
"0.2% noise breast_cancer to 2 t=1","0.965","0.954","0.012","0.031","0.959","0.949","0.009","0.03","0.966","0.952","0.017","0.041","0.962","0.95","0.013","0.036","3698.4","443.271","3606.8","528.935","49740.8","2049.632","48466.7","5023.9","0.429","0.092"
"0.2% noise breast_cancer to 4 t=1","0.958","0.959","0.013","0.011","0.956","0.956","0.009","0.009","0.953","0.956","0.017","0.015","0.954","0.956","0.014","0.012","3685.0","442.655","3059.6","717.009","48771.7","1544.807","41068.1","8487.308","0.645","0.163"
"0.3% noise breast_cancer to 2 t=1","0.97","0.97","0.007","0.007","0.964","0.964","0.008","0.008","0.971","0.971","0.009","0.009","0.967","0.967","0.008","0.008","3780.7","286.136","3667.2","415.663","48711.4","1526.783","47136.0","5229.783","0.445","0.09"
"0.3% noise breast_cancer to 4 t=1","0.963","0.965","0.008","0.008","0.96","0.962","0.008","0.008","0.959","0.962","0.011","0.011","0.96","0.962","0.009","0.009","3743.8","273.645","3385.0","630.53","48612.6","1245.305","44184.7","6250.054","0.637","0.099"
"0.1% noise vehicle to 2 t=1","0.498","0.498","0.05","0.05","0.491","0.491","0.046","0.046","0.503","0.503","0.05","0.05","0.49","0.49","0.047","0.047","7093.1","142.377","7093.1","142.377","79102.2","1403.074","79102.2","1403.074","0.672","0.042"
"0.1% noise vehicle to 4 t=1","0.524","0.525","0.043","0.052","0.515","0.517","0.042","0.049","0.53","0.531","0.042","0.05","0.516","0.517","0.041","0.049","7074.3","133.634","6396.9","1477.737","78790.6","1333.45","71115.6","17137.199","1.213","0.592"
"0.2% noise vehicle to 2 t=1","0.49","0.49","0.035","0.035","0.485","0.485","0.036","0.036","0.496","0.496","0.036","0.036","0.481","0.481","0.033","0.033","7159.5","74.035","7159.5","74.035","78158.4","841.008","78158.4","841.008","0.659","0.05"
"0.2% noise vehicle to 4 t=1","0.521","0.503","0.038","0.045","0.512","0.496","0.039","0.045","0.527","0.508","0.038","0.042","0.511","0.494","0.037","0.043","7153.3","77.996","5848.7","1886.45","77958.2","865.027","63362.3","20608.465","1.121","0.253"
"0.3% noise vehicle to 2 t=1","0.491","0.483","0.059","0.066","0.486","0.48","0.054","0.06","0.494","0.487","0.059","0.066","0.483","0.476","0.058","0.064","7143.2","231.305","6578.0","1076.424","78319.7","874.517","72346.4","12048.828","0.8","0.209"
"0.3% noise vehicle to 4 t=1","0.522","0.515","0.031","0.034","0.515","0.51","0.028","0.029","0.526","0.518","0.032","0.033","0.513","0.509","0.031","0.032","7130.6","220.035","6386.2","1383.683","78245.8","786.243","71015.7","14706.383","1.005","0.267"
"0.1% noise german_credit to 2 t=1","0.687","0.687","0.009","0.009","0.587","0.587","0.053","0.053","0.523","0.523","0.013","0.013","0.486","0.486","0.019","0.019","4593.4","695.805","4593.4","695.805","111450.6","722.785","111450.6","722.785","0.503","0.098"
"0.1% noise german_credit to 4 t=1","0.683","0.683","0.022","0.022","0.566","0.567","0.067","0.066","0.524","0.524","0.023","0.023","0.49","0.49","0.04","0.04","4578.1","691.94","4503.3","778.49","111461.8","767.279","108461.4","8912.061","0.87","0.795"
