algorithm,dataset_name,dataset_dimensions(elements|features|classes),PCA,adversarial_noise,avg_accuracy,avg_precision,avg_recall,avg_f1,std_accuracy,std_precision,std_recall,std_f1
LPTML,image_segment,(2100|19|7),19,0,0.939,0.939,0.939,0.939,0.006,0.007,0.007,0.007
EUCLIDEAN,image_segment,(2100|19|7),19,0,0.93,0.93,0.931,0.93,0.009,0.009,0.009,0.009
LPTML,image_segment,(2100|19|7),19,0.1,0.9,0.902,0.902,0.901,0.021,0.022,0.021,0.021
EUCLIDEAN,image_segment,(2100|19|7),19,0.1,0.935,0.937,0.936,0.935,0.014,0.015,0.015,0.015
LPTML,image_segment,(2100|19|7),19,0.3,0.866,0.87,0.869,0.868,0.022,0.024,0.023,0.023
EUCLIDEAN,image_segment,(2100|19|7),19,0.3,0.93,0.932,0.932,0.931,0.012,0.011,0.011,0.011
LPTML,soybean,(150|4|3),4,0,0.96,0.968,0.963,0.962,0.039,0.028,0.038,0.037
EUCLIDEAN,soybean,(150|4|3),4,0,0.98,0.981,0.982,0.981,0.016,0.016,0.014,0.016
LPTML,soybean,(150|4|3),4,0.1,0.933,0.936,0.932,0.932,0.047,0.047,0.05,0.051
EUCLIDEAN,soybean,(150|4|3),4,0.1,0.953,0.954,0.953,0.953,0.027,0.027,0.027,0.027
LPTML,soybean,(150|4|3),4,0.2,0.94,0.94,0.941,0.938,0.039,0.042,0.04,0.041
EUCLIDEAN,soybean,(150|4|3),4,0.2,0.953,0.957,0.956,0.953,0.027,0.025,0.024,0.027
LPTML,soybean,(150|4|3),4,0.3,0.953,0.946,0.951,0.947,0.016,0.024,0.028,0.025
EUCLIDEAN,soybean,(150|4|3),4,0.3,0.967,0.961,0.966,0.962,0.021,0.029,0.03,0.029
LPTML,iris,(150|4|3),4,0,0.953,0.946,0.956,0.949,0.04,0.045,0.042,0.043
EUCLIDEAN,iris,(150|4|3),4,0,0.933,0.928,0.94,0.928,0.047,0.052,0.036,0.049
LPTML,iris,(150|4|3),4,0.1,0.953,0.951,0.957,0.953,0.034,0.032,0.034,0.033
EUCLIDEAN,iris,(150|4|3),4,0.1,0.98,0.978,0.982,0.98,0.027,0.027,0.024,0.026
LPTML,iris,(150|4|3),4,0.2,0.967,0.96,0.973,0.963,0.021,0.038,0.014,0.029
EUCLIDEAN,iris,(150|4|3),4,0.2,0.96,0.953,0.969,0.958,0.025,0.037,0.018,0.029
LPTML,iris,(150|4|3),4,0.3,0.94,0.943,0.946,0.939,0.033,0.032,0.029,0.033
EUCLIDEAN,iris,(150|4|3),4,0.3,0.967,0.965,0.972,0.967,0.03,0.03,0.026,0.029
LPTML,wine,(178|13|3),13,0,0.811,0.816,0.812,0.804,0.069,0.068,0.062,0.065
EUCLIDEAN,wine,(178|13|3),13,0,0.706,0.683,0.694,0.682,0.014,0.027,0.025,0.021
LPTML,wine,(178|13|3),13,0.1,0.75,0.75,0.736,0.735,0.119,0.12,0.129,0.126
EUCLIDEAN,wine,(178|13|3),13,0.1,0.722,0.711,0.701,0.691,0.066,0.07,0.074,0.064
LPTML,wine,(178|13|3),13,0.2,0.839,0.842,0.826,0.826,0.075,0.076,0.078,0.08
EUCLIDEAN,wine,(178|13|3),13,0.2,0.744,0.746,0.73,0.715,0.059,0.064,0.062,0.071
LPTML,wine,(178|13|3),13,0.3,0.778,0.772,0.786,0.769,0.144,0.148,0.138,0.145
EUCLIDEAN,wine,(178|13|3),13,0.3,0.728,0.717,0.73,0.714,0.059,0.065,0.067,0.065
LPTML,breast_cancer,(699|9|2),9,0,0.966,0.959,0.969,0.963,0.019,0.024,0.015,0.02
EUCLIDEAN,breast_cancer,(699|9|2),9,0,0.969,0.964,0.968,0.965,0.007,0.012,0.007,0.008
LPTML,breast_cancer,(699|9|2),9,0.1,0.969,0.961,0.97,0.965,0.012,0.015,0.014,0.013
EUCLIDEAN,breast_cancer,(699|9|2),9,0.1,0.969,0.962,0.967,0.964,0.011,0.015,0.014,0.014
LPTML,breast_cancer,(699|9|2),9,0.2,0.954,0.952,0.949,0.949,0.015,0.009,0.024,0.017
EUCLIDEAN,breast_cancer,(699|9|2),9,0.2,0.971,0.968,0.97,0.968,0.006,0.008,0.01,0.008
LPTML,breast_cancer,(699|9|2),9,0.3,0.963,0.964,0.956,0.959,0.023,0.023,0.027,0.025
EUCLIDEAN,breast_cancer,(699|9|2),9,0.3,0.97,0.97,0.967,0.968,0.022,0.021,0.024,0.023
LPTML,vehicle,(846|18|4),18,0,0.641,0.641,0.649,0.642,0.016,0.013,0.016,0.015
EUCLIDEAN,vehicle,(846|18|4),18,0,0.607,0.608,0.623,0.61,0.026,0.03,0.028,0.027
LPTML,vehicle,(846|18|4),18,0.1,0.671,0.662,0.676,0.664,0.042,0.039,0.032,0.038
EUCLIDEAN,vehicle,(846|18|4),18,0.1,0.649,0.649,0.657,0.645,0.028,0.026,0.023,0.027
LPTML,vehicle,(846|18|4),18,0.2,0.633,0.624,0.638,0.626,0.049,0.052,0.056,0.054
EUCLIDEAN,vehicle,(846|18|4),18,0.2,0.615,0.604,0.618,0.605,0.027,0.027,0.029,0.028
LPTML,vehicle,(846|18|4),18,0.3,0.678,0.664,0.67,0.665,0.027,0.021,0.026,0.023
EUCLIDEAN,vehicle,(846|18|4),18,0.3,0.665,0.658,0.659,0.654,0.023,0.032,0.029,0.029
LPTML,german_credit,(1000|24|2),24,0,0.69,0.599,0.575,0.576,0.049,0.063,0.048,0.057
EUCLIDEAN,german_credit,(1000|24|2),24,0,0.687,0.602,0.575,0.576,0.022,0.028,0.009,0.009
LPTML,german_credit,(1000|24|2),24,0.1,0.708,0.631,0.594,0.595,0.032,0.056,0.043,0.058
EUCLIDEAN,german_credit,(1000|24|2),24,0.1,0.682,0.591,0.559,0.555,0.03,0.051,0.033,0.04
LPTML,german_credit,(1000|24|2),24,0.2,0.687,0.62,0.593,0.591,0.048,0.057,0.05,0.063
