"0 noise breast_cancer to 2 t=1","0.968","0.968","0.004","0.004","0.962","0.962","0.007","0.007","0.969","0.969","0.005","0.005","0.965","0.965","0.005","0.005","3514.8","271.048","3514.8","271.048","50066.6","1858.842","50066.6","1858.842","0.53","0.077"
"0 noise breast_cancer to 4 t=1","0.962","0.962","0.007","0.007","0.957","0.957","0.008","0.008","0.959","0.959","0.011","0.011","0.958","0.958","0.008","0.008","3540.6","251.707","3540.6","251.707","49176.2","1536.092","49176.2","1536.092","0.689","0.125"
"0 noise vehicle to 2 t=1","0.458","0.458","0.051","0.051","0.461","0.461","0.048","0.048","0.456","0.456","0.051","0.051","0.453","0.453","0.049","0.049","7151.4","171.91","7151.4","171.91","79166.4","626.967","79166.4","626.967","0.837","0.249"
"0 noise vehicle to 4 t=1","0.524","0.524","0.012","0.012","0.525","0.525","0.009","0.009","0.526","0.526","0.015","0.015","0.52","0.52","0.009","0.009","7145.2","179.154","7145.2","179.154","79111.0","645.394","79111.0","645.394","2.428","2.566"
"0 noise german_credit to 2 t=1","0.656","0.654","0.011","0.013","0.55","0.544","0.023","0.031","0.536","0.53","0.016","0.022","0.531","0.524","0.019","0.025","4240.0","398.258","4106.2","397.451","111643.6","539.799","108090.4","6640.959","0.583","0.173"
"0 noise german_credit to 4 t=1","0.648","0.653","0.018","0.013","0.535","0.536","0.02","0.02","0.523","0.523","0.013","0.012","0.515","0.512","0.015","0.02","4229.6","384.615","4114.4","402.185","111616.0","628.646","109139.6","5383.012","1.97","2.246"
"0 noise image_segment to 2 t=1","0.133","0.152","0.022","0.039","0.122","0.157","0.069","0.063","0.136","0.153","0.032","0.045","0.109","0.139","0.038","0.046","4740.0","20.736","3972.0","1532.135","4729.4","229.213","4065.6","1541.806","0.577","0.165"
"0 noise image_segment to 4 t=1","0.164","0.158","0.081","0.087","0.166","0.125","0.069","0.09","0.169","0.164","0.081","0.085","0.143","0.13","0.077","0.084","4665.2","11.839","3794.0","1465.608","4737.2","193.493","4066.8","1601.471","0.774","0.112"
"0 noise isolet to 2 t=1","0.273","0.262","0.006","0.022","0.275","0.267","0.005","0.018","0.274","0.263","0.007","0.021","0.269","0.259","0.006","0.021","45836.8","1773.841","37024.8","17336.32","1780.4","20.441","1433.8","673.66","7.722","2.567"
"0 noise isolet to 4 t=1","0.513","0.497","0.009","0.035","0.512","0.496","0.008","0.034","0.513","0.497","0.008","0.033","0.506","0.49","0.008","0.034","45759.6","1719.058","36888.6","17265.688","1766.8","24.669","1441.8","672.152","7.483","1.517"
"0 noise letters to 2 t=1","0.157","0.157","0.007","0.007","0.162","0.162","0.007","0.007","0.157","0.157","0.007","0.007","0.152","0.152","0.007","0.007","48670.8","1479.862","48670.8","1479.862","1789.4","19.541","1789.8","17.279","19.289","3.007"
"0 noise letters to 4 t=1","0.569","0.533","0.007","0.038","0.578","0.542","0.006","0.035","0.569","0.533","0.007","0.038","0.569","0.532","0.006","0.037","48237.2","1411.245","23891.2","20475.969","1786.0","4.05","851.8","764.046","22.05","2.649"
"0 noise mnist to 2 t=1","0.272","0.272","0.148","0.148","0.27","0.27","0.124","0.124","0.271","0.271","0.144","0.144","0.262","0.262","0.133","0.133","18140.8","906.432","18140.8","906.432","1740.8","18.915","1734.4","8.958","2.218","0.132"
"0 noise mnist to 4 t=1","0.296","0.298","0.2","0.199","0.307","0.305","0.184","0.187","0.296","0.297","0.198","0.197","0.293","0.293","0.192","0.192","17904.2","989.861","15081.4","5150.794","1742.8","8.795","1495.0","495.625","3.184","1.95"
"0.1% noise breast_cancer to 2 t=1","0.969","0.97","0.009","0.01","0.963","0.964","0.009","0.01","0.971","0.972","0.011","0.012","0.967","0.968","0.01","0.011","3867.4","267.715","3649.2","672.727","48817.0","1885.258","46114.2","6013.653","0.486","0.111"
"0.1% noise breast_cancer to 4 t=1","0.963","0.962","0.004","0.003","0.959","0.959","0.004","0.004","0.96","0.958","0.004","0.003","0.959","0.959","0.004","0.003","3846.4","255.253","3679.2","449.656","48206.2","1815.932","45616.6","4754.215","0.624","0.155"
"0.2% noise breast_cancer to 2 t=1","0.964","0.927","0.005","0.071","0.957","0.92","0.006","0.07","0.966","0.931","0.005","0.066","0.961","0.924","0.005","0.072","3636.8","424.096","3257.4","735.258","49673.4","1446.636","45344.0","6775.684","0.546","0.155"
"0.2% noise breast_cancer to 4 t=1","0.958","0.958","0.007","0.007","0.954","0.954","0.006","0.006","0.956","0.956","0.011","0.011","0.954","0.954","0.008","0.008","3632.8","367.56","3632.8","367.56","49029.8","977.672","49029.8","977.672","0.718","0.239"
"0.3% noise breast_cancer to 2 t=1","0.971","0.971","0.008","0.008","0.965","0.965","0.009","0.009","0.972","0.972","0.01","0.01","0.968","0.968","0.009","0.009","3437.2","309.894","3437.2","309.894","49386.0","1998.041","49386.0","1998.041","0.435","0.048"
"0.3% noise breast_cancer to 4 t=1","0.97","0.966","0.005","0.008","0.966","0.963","0.005","0.009","0.967","0.963","0.008","0.009","0.967","0.963","0.006","0.009","3478.6","305.497","2883.4","621.824","48842.0","1234.971","40375.6","7769.306","0.702","0.111"
"0.1% noise vehicle to 2 t=1","0.473","0.454","0.042","0.061","0.469","0.452","0.041","0.056","0.474","0.455","0.04","0.058","0.467","0.449","0.04","0.057","7109.4","136.396","6182.6","1937.423","79073.2","1063.685","68172.0","21298.627","0.813","0.202"
"0.1% noise vehicle to 4 t=1","0.511","0.504","0.051","0.047","0.508","0.502","0.049","0.044","0.512","0.505","0.048","0.045","0.508","0.501","0.05","0.045","7095.0","141.125","6090.0","1957.262","78987.6","1091.171","67720.8","22156.158","1.135","0.197"
"0.2% noise vehicle to 2 t=1","0.464","0.464","0.043","0.043","0.465","0.465","0.043","0.043","0.461","0.461","0.042","0.042","0.46","0.46","0.042","0.042","7099.0","85.608","7099.0","85.608","77897.2","1344.054","77897.2","1344.054","0.705","0.028"
"0.2% noise vehicle to 4 t=1","0.526","0.456","0.037","0.092","0.527","0.459","0.033","0.091","0.526","0.456","0.037","0.093","0.521","0.452","0.034","0.095","7082.8","82.371","5428.8","1869.869","77746.6","1422.29","59823.6","19977.05","1.26","0.566"
"0.3% noise vehicle to 2 t=1","0.471","0.465","0.033","0.034","0.473","0.47","0.031","0.031","0.48","0.475","0.032","0.033","0.47","0.461","0.034","0.035","6970.8","92.372","5138.8","2185.524","78329.0","1342.229","58224.2","25376.737","0.909","0.239"
"0.3% noise vehicle to 4 t=1","0.511","0.469","0.053","0.073","0.509","0.465","0.054","0.072","0.522","0.479","0.05","0.076","0.508","0.465","0.055","0.073","6957.6","82.691","5984.2","1914.081","78292.0","1273.863","67847.8","21804.648","1.909","1.344"
"0.1% noise german_credit to 2 t=1","0.658","0.658","0.008","0.008","0.547","0.547","0.015","0.015","0.529","0.529","0.009","0.009","0.518","0.518","0.014","0.014","4349.0","509.648","4349.0","509.648","109915.6","1480.866","109915.6","1480.866","0.479","0.056"
"0.1% noise german_credit to 4 t=1","0.656","0.661","0.033","0.031","0.551","0.553","0.055","0.053","0.533","0.534","0.035","0.034","0.526","0.524","0.041","0.044","4343.4","492.748","4023.8","960.549","109393.2","1652.364","102142.4","14984.788","0.74","0.191"
