algorithm,dataset_name,dataset_dimensions(elements|features|classes),PCA,adversarial_noise,accuracy,precision,recall,f1
RCA_Supervised,breast_cancer,(699|9|2),2,0,0.9514285714285714,0.9377622377622378,0.9592641502512746,0.9468232476249206
RCA_Supervised,breast_cancer,(699|9|2),2,0.1,0.9685714285714285,0.9561594202898551,0.9745749934034453,0.9644633972992183
RCA_Supervised,breast_cancer,(699|9|2),2,0.2,0.9542857142857143,0.945409058660991,0.9496400165856232,0.9474789915966386
RCA_Supervised,breast_cancer,(699|9|2),2,0.3,0.9685714285714285,0.9598930481283423,0.969892952720785,0.9646175478582129
RCA_Supervised,breast_cancer,(699|9|2),4,0,0.9428571428571428,0.935805729797146,0.935805729797146,0.935805729797146
RCA_Supervised,breast_cancer,(699|9|2),4,0.1,0.9657142857142857,0.9608888888888889,0.9642562945453244,0.9625321153297173
RCA_Supervised,breast_cancer,(699|9|2),4,0.2,0.9371428571428572,0.9362318840579711,0.9265873015873016,0.9310554779556606
RCA_Supervised,breast_cancer,(699|9|2),4,0.3,0.9742857142857143,0.9633804892425581,0.9788153336632532,0.9705263157894737
MMC_Supervised,breast_cancer,(699|9|2),2,0,0.96,0.9546666666666668,0.9579886107231116,0.9562874678846702
MMC_Supervised,breast_cancer,(699|9|2),2,0.1,0.9685714285714285,0.9659857065803668,0.9690691913536258,0.9674487423377722
MMC_Supervised,breast_cancer,(699|9|2),2,0.2,0.96,0.9453125,0.9703389830508475,0.9557905373705293
MMC_Supervised,breast_cancer,(699|9|2),2,0.3,0.9514285714285714,0.9506427358719378,0.9468801539307312,0.9486799092626295
MMC_Supervised,breast_cancer,(699|9|2),4,0,0.9714285714285714,0.9614972880388238,0.9764588859416445,0.9682971014492754
MMC_Supervised,breast_cancer,(699|9|2),4,0.1,0.9685714285714285,0.9595555555555556,0.9721288720046757,0.9653312442031139
MMC_Supervised,breast_cancer,(699|9|2),4,0.2,0.9571428571428572,0.9525290215588723,0.9565512914357419,0.9544567338972023
MMC_Supervised,breast_cancer,(699|9|2),4,0.3,0.9657142857142857,0.9658094681472823,0.9584411849295369,0.9619565217391304
LSML_Supervised,breast_cancer,(699|9|2),2,0,0.9742857142857143,0.9633804892425581,0.9788153336632532,0.9705263157894737
LSML_Supervised,breast_cancer,(699|9|2),2,0.1,0.9742857142857143,0.9677579365079365,0.9764516943953229,0.9718476016837816
LSML_Supervised,breast_cancer,(699|9|2),2,0.2,0.9742857142857143,0.9707362668967501,0.9725540438124797,0.9716346543480022
LSML_Supervised,breast_cancer,(699|9|2),2,0.3,0.9685714285714285,0.9613219349457882,0.972,0.96618387190275
LSML_Supervised,breast_cancer,(699|9|2),4,0,0.9657142857142857,0.9607122466457323,0.9641573195283291,0.9623938970667241
LSML_Supervised,breast_cancer,(699|9|2),4,0.1,0.96,0.9564444444444444,0.9564444444444444,0.9564444444444444
LSML_Supervised,breast_cancer,(699|9|2),4,0.2,0.98,0.9785957961923627,0.9765853302162477,0.9775795012582933
LSML_Supervised,breast_cancer,(699|9|2),4,0.3,0.96,0.9476449275362319,0.9634978991596639,0.9548703212496317
ITML_Supervised,breast_cancer,(699|9|2),2,0,0.9628571428571429,0.9555983192683875,0.963869715271786,0.9594831654778759
ITML_Supervised,breast_cancer,(699|9|2),2,0.1,0.98,0.9773333333333334,0.9790536682843277,0.9781832429496256
ITML_Supervised,breast_cancer,(699|9|2),2,0.2,0.96,0.95,0.96875,0.9575551782682513
