algorithm,dataset_name,dataset_dimensions(elements|features|classes),PCA,adversarial_noise,avg_accuracy,avg_precision,avg_recall,avg_f1,std_accuracy,std_precision,std_recall,std_f1
LPTML,breast_cancer,(699|9|2),2,0.1,0.963,0.956,0.965,0.96,0.007,0.007,0.009,0.008
LPTML,breast_cancer,(699|9|2),4,0.1,0.949,0.943,0.946,0.944,0.028,0.026,0.035,0.03
LPTML,breast_cancer,(699|9|2),2,0.2,0.967,0.958,0.972,0.964,0.006,0.009,0.006,0.007
LPTML,breast_cancer,(699|9|2),4,0.2,0.965,0.959,0.963,0.961,0.007,0.008,0.009,0.008
LPTML,breast_cancer,(699|9|2),2,0.3,0.933,0.922,0.937,0.927,0.071,0.081,0.067,0.079
LPTML,breast_cancer,(699|9|2),4,0.3,0.965,0.959,0.963,0.961,0.004,0.005,0.007,0.004
LPTML,vehicle,(846|18|4),2,0.1,0.487,0.491,0.493,0.483,0.046,0.043,0.044,0.045
LPTML,vehicle,(846|18|4),4,0.1,0.484,0.489,0.489,0.479,0.063,0.064,0.063,0.064
LPTML,vehicle,(846|18|4),2,0.2,0.457,0.459,0.463,0.451,0.036,0.032,0.037,0.036
LPTML,vehicle,(846|18|4),4,0.2,0.496,0.501,0.501,0.492,0.037,0.042,0.039,0.04
LPTML,vehicle,(846|18|4),2,0.3,0.478,0.479,0.484,0.474,0.023,0.021,0.023,0.023
LPTML,vehicle,(846|18|4),4,0.3,0.521,0.524,0.53,0.517,0.039,0.041,0.038,0.041
LPTML,german_credit,(1000|24|2),2,0.1,0.652,0.542,0.528,0.521,0.013,0.026,0.014,0.014
LPTML,german_credit,(1000|24|2),4,0.1,0.667,0.567,0.55,0.547,0.039,0.064,0.048,0.055
LPTML,german_credit,(1000|24|2),2,0.2,0.665,0.561,0.54,0.533,0.016,0.029,0.02,0.025
LPTML,german_credit,(1000|24|2),4,0.2,0.666,0.57,0.551,0.549,0.016,0.031,0.022,0.024
LPTML,german_credit,(1000|24|2),2,0.3,0.661,0.558,0.539,0.53,0.034,0.04,0.033,0.04
LPTML,german_credit,(1000|24|2),4,0.3,0.634,0.536,0.523,0.517,0.031,0.041,0.025,0.025
LPTML,image_segment,(210|19|7),2,0.1,0.109,0.115,0.109,0.089,0.051,0.038,0.051,0.04
LPTML,image_segment,(210|19|7),4,0.1,0.154,0.143,0.156,0.133,0.07,0.066,0.07,0.063
LPTML,image_segment,(210|19|7),2,0.2,0.154,0.132,0.156,0.131,0.026,0.01,0.024,0.016
LPTML,image_segment,(210|19|7),4,0.2,0.103,0.092,0.108,0.083,0.022,0.037,0.025,0.027
LPTML,image_segment,(210|19|7),2,0.3,0.13,0.14,0.131,0.098,0.042,0.091,0.04,0.036
LPTML,image_segment,(210|19|7),4,0.3,0.175,0.187,0.179,0.147,0.033,0.09,0.034,0.031
LPTML,isolet,(7797|617|26),2,0.1,0.267,0.271,0.268,0.263,0.017,0.013,0.017,0.016
LPTML,isolet,(7797|617|26),4,0.1,0.488,0.488,0.488,0.483,0.031,0.03,0.031,0.031
LPTML,isolet,(7797|617|26),2,0.2,0.266,0.268,0.268,0.261,0.017,0.015,0.017,0.017
LPTML,isolet,(7797|617|26),4,0.2,0.378,0.382,0.379,0.375,0.127,0.129,0.129,0.128
LPTML,isolet,(7797|617|26),2,0.3,0.267,0.271,0.269,0.262,0.015,0.013,0.015,0.014
LPTML,isolet,(7797|617|26),4,0.3,0.464,0.47,0.466,0.46,0.044,0.044,0.043,0.043
LPTML,letters,(20000|16|26),2,0.1,0.14,0.143,0.139,0.133,0.019,0.023,0.019,0.021
LPTML,letters,(20000|16|26),4,0.1,0.512,0.522,0.512,0.512,0.054,0.053,0.054,0.054
LPTML,letters,(20000|16|26),2,0.2,0.157,0.163,0.156,0.153,0.024,0.023,0.024,0.023
LPTML,letters,(20000|16|26),4,0.2,0.472,0.482,0.471,0.471,0.121,0.115,0.122,0.121
LPTML,letters,(20000|16|26),2,0.3,0.152,0.155,0.151,0.145,0.011,0.012,0.012,0.012
LPTML,letters,(20000|16|26),4,0.3,0.561,0.57,0.561,0.562,0.025,0.026,0.025,0.025
LPTML,mnist,(4000|784|10),2,0.1,0.292,0.287,0.288,0.281,0.146,0.122,0.142,0.131
LPTML,mnist,(4000|784|10),4,0.1,0.254,0.261,0.252,0.251,0.172,0.157,0.168,0.162
LPTML,mnist,(4000|784|10),2,0.2,0.259,0.254,0.256,0.249,0.138,0.118,0.134,0.125
LPTML,mnist,(4000|784|10),4,0.2,0.189,0.191,0.188,0.183,0.074,0.061,0.07,0.062
LPTML,mnist,(4000|784|10),2,0.3,0.352,0.339,0.345,0.335,0.132,0.11,0.129,0.118
LPTML,mnist,(4000|784|10),4,0.3,0.332,0.332,0.326,0.322,0.169,0.157,0.169,0.163
LPTML,breast_cancer,(699|9|2),2,0,0.966,0.957,0.969,0.962,0.005,0.009,0.005,0.007
LPTML,breast_cancer,(699|9|2),4,0,0.961,0.954,0.96,0.956,0.003,0.008,0.005,0.004
LPTML,vehicle,(846|18|4),2,0,0.48,0.477,0.485,0.475,0.038,0.033,0.035,0.037
LPTML,vehicle,(846|18|4),4,0,0.53,0.524,0.535,0.523,0.061,0.056,0.06,0.059
LPTML,german_credit,(1000|24|2),2,0,0.661,0.55,0.535,0.532,0.023,0.025,0.017,0.02
LPTML,german_credit,(1000|24|2),4,0,0.665,0.571,0.56,0.56,0.011,0.013,0.01,0.012
LPTML,image_segment,(210|19|7),2,0,0.139,0.157,0.14,0.103,0.022,0.083,0.014,0.028
LPTML,image_segment,(210|19|7),4,0,0.135,0.139,0.131,0.109,0.065,0.087,0.064,0.053
LPTML,isolet,(7797|617|26),2,0,0.267,0.271,0.267,0.262,0.015,0.016,0.014,0.015
LPTML,isolet,(7797|617|26),4,0,0.492,0.494,0.492,0.486,0.02,0.021,0.021,0.02
LPTML,letters,(20000|16|26),2,0,0.153,0.159,0.153,0.148,0.012,0.013,0.013,0.013
LPTML,letters,(20000|16|26),4,0,0.519,0.529,0.519,0.519,0.055,0.054,0.056,0.056
LPTML,mnist,(4000|784|10),2,0,0.277,0.272,0.274,0.267,0.15,0.125,0.145,0.134
LPTML,mnist,(4000|784|10),4,0,0.255,0.254,0.252,0.247,0.14,0.13,0.136,0.131
