algorithm,dataset_name,dataset_dimensions(elements|features|classes),PCA,adversarial_noise,accuracy,precision,recall,f1
NCA,image_segment,(2100|19|7),0,0,0.9428571428571428,0.9428804990613898,0.9412234103239644,0.9410243431789672
NCA,image_segment,(2100|19|7),0,0.1,0.9257142857142857,0.926031142885319,0.9235398339592142,0.9240477655779984
NCA,image_segment,(2100|19|7),0,0.2,0.9133333333333333,0.9146775756330026,0.911605898567456,0.9117222662423224
NCA,image_segment,(2100|19|7),0,0.3,0.920952380952381,0.9224171634973845,0.9217050319907018,0.920408314398328
LMNN,image_segment,(2100|19|7),0,0,0.9466666666666667,0.9480969958945786,0.9475988403245503,0.9477145005243753
LMNN,image_segment,(2100|19|7),0,0.1,0.9447619047619048,0.9452609922824428,0.9451445194256352,0.9451425168697322
LMNN,image_segment,(2100|19|7),0,0.2,0.9352380952380952,0.9353361907270265,0.9349022125221383,0.9342903087985354
LMNN,image_segment,(2100|19|7),0,0.3,0.9361904761904762,0.937374474875951,0.9370354893363795,0.9368244322315119
MMC_Supervised,soybean,(150|4|3),0,0,0.9866666666666667,0.9866666666666667,0.9861111111111112,0.9861050803300042
MMC_Supervised,soybean,(150|4|3),0,0.1,0.9466666666666667,0.9484702093397747,0.9466666666666667,0.9465811965811964
MMC_Supervised,soybean,(150|4|3),0,0.2,0.9733333333333334,0.9770114942528735,0.9696969696969697,0.9722222222222222
MMC_Supervised,soybean,(150|4|3),0,0.3,0.96,0.9545454545454546,0.9655172413793104,0.9574279379157428
LSML_Supervised,soybean,(150|4|3),0,0,0.96,0.9598765432098765,0.9616977225672878,0.9605415860735009
LSML_Supervised,soybean,(150|4|3),0,0.1,0.9733333333333334,0.9722222222222222,0.9696969696969697,0.9696342305037957
LSML_Supervised,soybean,(150|4|3),0,0.2,0.96,0.9629629629629629,0.9545454545454546,0.9560019129603061
LSML_Supervised,soybean,(150|4|3),0,0.3,0.9733333333333334,0.9714285714285714,0.9714285714285714,0.9714285714285715
ITML_Supervised,soybean,(150|4|3),0,0,0.9866666666666667,0.98989898989899,0.9841269841269842,0.9867417135709818
ITML_Supervised,soybean,(150|4|3),0,0.1,0.92,0.9292929292929294,0.923076923076923,0.9226190476190476
ITML_Supervised,soybean,(150|4|3),0,0.2,0.76,0.763034188034188,0.75671242337909,0.7584263348052991
ITML_Supervised,soybean,(150|4|3),0,0.3,0.92,0.9163636363636364,0.9154589371980677,0.9148550724637681
NCA,soybean,(150|4|3),0,0,0.9866666666666667,0.9876543209876543,0.9866666666666667,0.986907970735464
NCA,soybean,(150|4|3),0,0.1,0.9466666666666667,0.944176060118089,0.9496442255062943,0.9458874458874459
NCA,soybean,(150|4|3),0,0.2,0.9333333333333333,0.9451032059727712,0.9376068376068377,0.9395313681027968
NCA,soybean,(150|4|3),0,0.3,0.9733333333333334,0.9743589743589745,0.9753086419753086,0.9738461538461539
MLKR,soybean,(150|4|3),0,0,0.9466666666666667,0.9540229885057471,0.9540229885057471,0.9506172839506174
MLKR,soybean,(150|4|3),0,0.1,0.8933333333333333,0.8950216450216449,0.894078144078144,0.8929896694998348
MLKR,soybean,(150|4|3),0,0.2,0.9333333333333333,0.9322222222222222,0.9322222222222222,0.9319727891156463
MLKR,soybean,(150|4|3),0,0.3,0.96,0.9619753086419753,0.9615384615384616,0.9615242323344432
LFDA,soybean,(150|4|3),0,0,0.9733333333333334,0.9761904761904763,0.9682539682539683,0.9709876543209877
LFDA,soybean,(150|4|3),0,0.1,0.9866666666666667,0.9848484848484849,0.9888888888888889,0.9865983445013796
LFDA,soybean,(150|4|3),0,0.2,0.9466666666666667,0.9431818181818182,0.9431818181818182,0.9420289855072465
LFDA,soybean,(150|4|3),0,0.3,0.9733333333333334,0.9649122807017544,0.9743589743589745,0.9681481481481482
LMNN,soybean,(150|4|3),0,0,0.9733333333333334,0.9743589743589745,0.9743589743589745,0.9733333333333333
LMNN,soybean,(150|4|3),0,0.1,0.96,0.9581939799331104,0.9601571268237935,0.9589098532494759
LMNN,soybean,(150|4|3),0,0.2,0.96,0.9603174603174603,0.9625187406296852,0.9611795446061963
LMNN,soybean,(150|4|3),0,0.3,0.9466666666666667,0.9523809523809524,0.9466666666666667,0.9453734671125975
MMC_Supervised,iris,(150|4|3),0,0,0.9733333333333334,0.9715151515151516,0.9715151515151516,0.9715151515151516
MMC_Supervised,iris,(150|4|3),0,0.1,1.0,1.0,1.0,1.0
MMC_Supervised,iris,(150|4|3),0,0.2,0.96,0.9615384615384616,0.9565217391304347,0.9563360227812053
MMC_Supervised,iris,(150|4|3),0,0.3,0.9466666666666667,0.943355119825708,0.9340350877192982,0.9373219373219372
LSML_Supervised,iris,(150|4|3),0,0,0.9466666666666667,0.9503657262277952,0.9459876543209876,0.9472049689440993
LSML_Supervised,iris,(150|4|3),0,0.1,0.9733333333333334,0.9737654320987654,0.9737654320987654,0.9737654320987654
LSML_Supervised,iris,(150|4|3),0,0.2,0.9866666666666667,0.9871794871794872,0.9871794871794872,0.9869281045751634
LSML_Supervised,iris,(150|4|3),0,0.3,0.9466666666666667,0.9436781609195402,0.9436781609195402,0.9436781609195402
ITML_Supervised,iris,(150|4|3),0,0,0.96,0.9581939799331104,0.9601571268237935,0.9589098532494759
ITML_Supervised,iris,(150|4|3),0,0.1,0.96,0.9583333333333334,0.9615384615384616,0.9573696145124716
ITML_Supervised,iris,(150|4|3),0,0.2,0.9866666666666667,0.989247311827957,0.9855072463768115,0.9871281117182757
ITML_Supervised,iris,(150|4|3),0,0.3,0.9066666666666666,0.9333333333333332,0.9066666666666666,0.9086993970714902
NCA,iris,(150|4|3),0,0,0.96,0.9642857142857143,0.96,0.9598554797270173
NCA,iris,(150|4|3),0,0.1,0.96,0.9565217391304347,0.96,0.9554675903018307
NCA,iris,(150|4|3),0,0.2,0.96,0.96875,0.9565217391304347,0.9603507434235606
NCA,iris,(150|4|3),0,0.3,0.9733333333333334,0.9770114942528735,0.9743589743589745,0.9747619047619048
MLKR,iris,(150|4|3),0,0,0.9733333333333334,0.9696969696969697,0.9770114942528735,0.9722222222222223
MLKR,iris,(150|4|3),0,0.1,0.9466666666666667,0.9480259870064968,0.9480259870064968,0.9480259870064968
MLKR,iris,(150|4|3),0,0.2,0.9466666666666667,0.9455128205128206,0.9491341991341992,0.9463231347289319
MLKR,iris,(150|4|3),0,0.3,0.9466666666666667,0.9555555555555556,0.9487179487179488,0.9484126984126983
LFDA,iris,(150|4|3),0,0,0.9733333333333334,0.9761904761904763,0.9743589743589745,0.974320987654321
LFDA,iris,(150|4|3),0,0.1,0.96,0.9655172413793104,0.9615384615384616,0.9614100185528757
LFDA,iris,(150|4|3),0,0.2,0.9733333333333334,0.9733333333333333,0.9733333333333333,0.9733333333333333
LFDA,iris,(150|4|3),0,0.3,0.9733333333333334,0.9720279720279721,0.9720279720279721,0.9720279720279721
LMNN,iris,(150|4|3),0,0,0.9466666666666667,0.9480952380952381,0.9521739130434783,0.9492337164750957
LMNN,iris,(150|4|3),0,0.1,0.96,0.9591097308488613,0.9618599791013583,0.960233918128655
